UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
SP,35,50308,São Paulo,12396372
RJ,33,04557,Rio de Janeiro,6775561
DF,53,00108,Brasília,3094325
BA,29,27408,Salvador,2900319
CE,23,04400,Fortaleza,2703391
MG,31,06200,Belo Horizonte,2530701
AM,13,02603,Manaus,2255903
PR,41,06902,Curitiba,1963726
PE,26,11606,Recife,1661017
GO,52,08707,Goiânia,1555626
PA,15,01402,Belém,1506420
RS,43,14902,Porto Alegre,1492530
SP,35,18800,Guarulhos,1404694
SP,35,09502,Campinas,1223237
MA,21,11300,São Luís,1115932
RJ,33,04904,São Gonçalo,1098357
AL,27,04302,Maceió,1031597
RJ,33,01702,Duque de Caxias,929449
MS,50,02704,Campo Grande,916001
RN,24,08102,Natal,896708
PI,22,11001,Teresina,871126
SP,35,48708,São Bernardo do Campo,849874
PB,25,07507,João Pessoa,825796
RJ,33,03500,Nova Iguaçu,825388
SP,35,49904,São José dos Campos,737310
SP,35,47809,Santo André,723889
SP,35,43402,Ribeirão Preto,720116
PE,26,07901,Jaboatão dos Guararapes,711330
MG,31,70206,Uberlândia,706597
SP,35,34401,Osasco,701428
SP,35,52205,Sorocaba,695328
MG,31,18601,Contagem,673849
SE,28,00308,Aracaju,672614
BA,29,10800,Feira de Santana,624107
MT,51,03403,Cuiabá,623614
SC,42,09102,Joinville,604708
GO,52,01405,Aparecida de Goiânia,601844
PR,41,13700,Londrina,580870
MG,31,36702,Juiz de Fora,577532
RO,11,00205,Porto Velho,548952
PA,15,00800,Ananindeua,540410
ES,32,05002,Serra,536765
RS,43,05108,Caxias do Sul,523716
AP,16,00303,Macapá,522357
RJ,33,03302,Niterói,516981
SC,42,05407,Florianópolis,516524
RJ,33,00456,Belford Roxo,515239
RJ,33,01009,Campos dos Goytacazes,514643
ES,32,05200,Vila Velha,508655
SP,35,29401,Mauá,481725
RJ,33,05109,São João de Meriti,473385
SP,35,49805,São José do Rio Preto,469173
SP,35,30607,Mogi das Cruzes,455587
MG,31,06705,Betim,450024
RR,14,00100,Boa Vista,436591
PR,41,15200,Maringá,436472
SP,35,48500,Santos,433991
SP,35,13801,Diadema,429550
SP,35,25904,Jundiaí,426935
AC,12,00401,Rio Branco,419452
MG,31,43302,Montes Claros,417478
PB,25,04009,Campina Grande,413830
SP,35,38709,Piracicaba,410275
SP,35,10609,Carapicuíba,405375
GO,52,01108,Anápolis,396526
PE,26,09600,Olinda,393734
ES,32,01308,Cariacica,386495
SP,35,06003,Bauru,381706
SP,35,23107,Itaquaquecetuba,379082
SP,35,51009,São Vicente,370839
ES,32,05309,Vitória,369534
PE,26,04106,Caruaru,369343
CE,23,03709,Caucaia,368918
SC,42,02404,Blumenau,366418
PE,26,11101,Petrolina,359372
PR,41,19905,Ponta Grossa,358838
SP,35,16200,Franca,358539
RS,43,04606,Canoas,349728
RS,43,14407,Pelotas,343826
BA,29,33307,Vitória da Conquista,343643
MG,31,54606,Ribeirão das Neves,341415
MG,31,70107,Uberaba,340277
PE,26,10707,Paulista,336919
SP,35,41000,Praia Grande,336454
PR,41,04808,Cascavel,336073
PR,41,25506,São José dos Pinhais,334620
SP,35,18701,Guarujá,324977
SP,35,54102,Taubaté,320820
TO,17,21000,Palmas,313349
SP,35,26902,Limeira,310783
BA,29,05701,Camaçari,309208
PA,15,06807,Santarém,308339
RJ,33,03906,Petrópolis,307144
RN,24,08003,Mossoró,303792
SP,35,52502,Suzano,303397
SP,35,52809,Taboão da Serra,297528
MT,51,08402,Várzea Grande,290383
SP,35,52403,Sumaré,289875
PA,15,04208,Marabá,287664
RS,43,09209,Gravataí,285564
