Município,Pesquisas pelo Termo Empreendedora
Arapiraca,86
Maceió,56.76
Manaus,84
Macapá,100
Feira de Santana,77
Jacobina,72.38
Salvador,57.75
Fortaleza,74
Brasília,65
Vila Velha,56
Vitoria,47.6
Serra,35.84
Aparecida de Goiânia,57
Goiânia,43.32
Anápolis,41.04
São Luís,86
Campo Grande,61
Dourados,54.29
Cuiabá,63
Ananindeua,71
Belém,60.35
João Pessoa,58
Campina Grande,51.62
Caruaru,68
Petrolina,66.64
Jaboatão dos Guararapes,65.28
Recife,49.64
Belo Jardim,37.4
Teresina,79
Curitiba,53
Maringá,44.52
Cascavel,43.99
Londrina,43.46
Queimados,42
Macaé,28.98
Duque de Caxias,28.56
Barra Mansa,28.56
Niterói,24.36
Nova Iguaçu,22.26
Rio de Janeiro,21
São Gonçalo,19.32
Parnamirim,59
Natal,57.23
Mossoró,53.69
Porto Velho,78
Boa Vista,80
Caxias do Sul,49
Porto Alegre,29.89
Santa Maria,28.91
Passo Fundo,21.07
Florianópolis,57
Blumenau,43.89
Joinville,42.75
Jaraguá do Sul,33.06
Aracaju,81
Jundiaí,54
Araçariguama,45.9
Várzea Paulista,40.5
Barueri,25.38
Santana de Parnaíba,25.38
São José dos Campos,23.22
Osasco,18.9
Ribeirão Preto,18.9
Piracicaba,18.36
Carapicuiba,18.36
São Paulo,17.82
São Bernardo do Campo,17.82
Itaquaquecetuba,17.82
Mogi das Cruzes,17.82
Santos,17.82
Franca,17.82
Sorocaba,17.28
Campinas,16.74
Diadema,16.2
Santo André,15.66
Indaiatuba,15.66
Mauá,14.04
Sao Jose do Rio Preto,13.5
Guarujá,12.96
Francisco Morato,8.64
Pindamonhangaba,5.94
Praia Grande,4.86
Palmas,94
