Category: All categories,
City,Franquia: (9/16/17 - 9/16/22)
Nova Mutum,100
Juína,98
Alta Floresta,94
Lucas do Rio Verde,88
Nova Andradina,86
Sorriso,86
Sinop,85
Gurupi,81
Balsas,81
Pato Branco,76
Barra do Garças,74
Balneário Camboriú,74
Parauapebas,73
Vilhena,73
Gramado,72
Paulinia,71
Sao Jose do Rio Preto,70
Três Lagoas,69
São Caetano do Sul,69
Piçarras,68
Patrocínio,65
Indaiatuba,63
Jundiaí,63
Unaí,63
Araguaína,63
Caldas Novas,63
Itapema,62
Ponta Porã,62
Itupeva,62
Diadema,62
Barreiras,61
Rio das Ostras,61
Vinhedo,61
Porto Belo,59
Medianeira,59
Toledo,59
Cabedelo,59
Ji-Paraná,58
Santo André,57
Santos,57
Penápolis,57
Guaratinguetá,56
Guarapuava,55
Bertioga,54
Guaratuba,53
Artur Nogueira,52
Cajamar,52
Andradina,52
Irecê,52
São José do Rio Pardo,51
Nova Odessa,51
Bebedouro,50
Itapoá,50
Lajeado,49
Passos,49
Dois Vizinhos,48
Cosmópolis,48
Arroio do Sal,46
Mirassol,45
Curvelo,44
Santo Antônio de Jesus,44
Ivaiporã,43
Jaboticabal,43
Louveira,42
Patos,41
Sousa,41
Cataguases,40
Santa Cruz do Rio Pardo,39
Rolândia,37
Américo Brasiliense,35
Ilhéus,34
Piranhas,
Pitanga,
Juara,
Água Boa,
Ubiratã,
Campo Novo do Parecis,
Brasilândia de Minas,
Reginópolis,
Diamantino,
Santa Terezinha de Itaipu,
Campo Verde,
Chapadão do Sul,
Miguel Pereira,
Piracaia,
Imbé,
Jardim,
Pontes e Lacerda,
Palmas,
Confresa,
Amambaí,
Santa Maria da Vitória,
Mirassol D'Oeste,
Quirinópolis,
Presidente Médici,
Itaí,
Palmeira,
Casa Branca,
Propriá,
Bady Bassitt,
Garopaba,
Rochedo de Minas,
Arraial d'Ajuda,
Taiobeiras,
Tupaciguara,
Realeza,
Corbélia,
Balneário Rincão,
Guapiara,
São Miguel do Araguaia,
Sapucaia,
Tiradentes,
Mendes,
Aragarças,
Minaçu,
Maracaju,
Adamantina,
Descalvado,
Ribeira do Pombal,
Loanda,
Santa Maria de Itabira,
Machado,
Três Marias,
Monte Aprazível,
Lapa,
Cachoeira Paulista,
Potirendaba,
Conchal,
Iperó,
Barra Velha,
Itararé,
Oriximiná,
São Marcos,
Domingos Martins,
Canoinhas,
Arapoti,
Bandeirantes,
Lindóia,
Itirapina,
Arembepe,
Prudentópolis,
Laranjeiras do Sul,
Peixoto de Azevedo,
Cassilândia,
Maravilha,
Caarapó,
Orlândia,
Porto Nacional,
Nova Prata,
Serra Negra,
Capela do Alto,
Boa Esperança,
Ibotirama,
Arroio dos Ratos,
Alta Floresta D'Oeste,
Lucélia,
Nerópolis,
Capão Bonito,
Tupanciretã,
Ceres,
Mairinque,
Nova Petrópolis,
Veranópolis,
Alto Jequitibá,
Turvo,
Teodoro Sampaio,
Miguelópolis,
Almenara,
Águas Claras,
Jandaia do Sul,
Valparaíso,
Ascurra,
Rio das Pedras,
Barrinha,
Fartura,
Juatuba,
Piraí,
Carmo do Paranaíba,
Caetité,
Pinheiral,
Divinolândia,
Santa Maria de Jetibá,
Araçoiaba da Serra,
Altos,
Poções,
Guaçuí,
Três Passos,
Viçosa do Ceará,
Palmeira das Missões,
Mondaí,
Cambará,
Jambeiro,
Itapetinga,
Niquelândia,
Santo Estêvão,
São Carlos,
Prata,
Palmitos,
Água Clara,
Porangaba,
